REGISTRY_NAME,DISPLAY_NAME
<actuallyadditions:battery_bauble>.withTag({Energy: 200000}),Single Battery
<actuallyadditions:battery_bauble>.withTag({Energy: 0}),Single Battery
<actuallyadditions:battery_double_bauble>.withTag({Energy: 350000}),Double Battery
<actuallyadditions:battery_double_bauble>.withTag({Energy: 0}),Double Battery
<actuallyadditions:battery_quadruple_bauble>.withTag({Energy: 1000000}),Quadruple Battery
<actuallyadditions:battery_quadruple_bauble>.withTag({Energy: 0}),Quadruple Battery
<actuallyadditions:battery_quintuple_bauble>.withTag({Energy: 2000000}),Quintuple Battery
<actuallyadditions:battery_quintuple_bauble>.withTag({Energy: 0}),Quintuple Battery
<actuallyadditions:battery_triple_bauble>.withTag({Energy: 600000}),Triple Battery
<actuallyadditions:battery_triple_bauble>.withTag({Energy: 0}),Triple Battery
<actuallyadditions:block_atomic_reconstructor>,Atomic Reconstructor
<actuallyadditions:block_battery_box>,Battery Box
<actuallyadditions:block_bio_reactor>,Bio Reactor
<actuallyadditions:block_black_lotus>,Black Lotus
<actuallyadditions:block_breaker>,Auto-Breaker
<actuallyadditions:block_canola>,Canola Plant
<actuallyadditions:block_canola_oil>,Canola Oil
<actuallyadditions:block_canola_press>,Canola Press
<actuallyadditions:block_chiseled_quartz_slab>,Chiseled Black Quartz Slab
<actuallyadditions:block_chiseled_quartz_stair>,Chiseled Black Quartz Stairs
<actuallyadditions:block_chiseled_quartz_wall>,Chiseled Black Quartz Wall
<actuallyadditions:block_coal_generator>,Coal Generator
<actuallyadditions:block_coffee>,Coffee Plant
<actuallyadditions:block_coffee_machine>,Coffee Maker
<actuallyadditions:block_colored_lamp>,White Lamp
<actuallyadditions:block_colored_lamp:1>,Orange Lamp
<actuallyadditions:block_colored_lamp:2>,Magenta Lamp
<actuallyadditions:block_colored_lamp:3>,Light Blue Lamp
<actuallyadditions:block_colored_lamp:4>,Yellow Lamp
<actuallyadditions:block_colored_lamp:5>,Lime Lamp
<actuallyadditions:block_colored_lamp:6>,Pink Lamp
<actuallyadditions:block_colored_lamp:7>,Gray Lamp
<actuallyadditions:block_colored_lamp:8>,Light Gray Lamp
<actuallyadditions:block_colored_lamp:9>,Cyan Lamp
<actuallyadditions:block_colored_lamp:10>,Purple Lamp
<actuallyadditions:block_colored_lamp:11>,Blue Lamp
<actuallyadditions:block_colored_lamp:12>,Brown Lamp
<actuallyadditions:block_colored_lamp:13>,Green Lamp
